J2000 E2000,,,,,,,,Multiplicity,,,,,,,,,,Names,,,,,,,,,,,,,,Positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motions,,,,,,,,,Galactic Kinematics,,,,,,,,,,,,,GALEX photometry,,,,,SDSS photometry,,,,,,,,,,,,,,,,,,,,,TYCHO photometry,,,,Johnson-Kron-Cousins photometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,,,,,,,,,,WISE photometry,,,,,,,,,,,,,,,,,,,X-ray photometry,,,,,,,Photometry Derived Parameters,,,,,,,,,,,,,,,Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derived spectroscopic,,,,,,,,,,,,,,,Membership,,,,,,,,,,,,,,,,,,,,,,,,,,rawRV,,,,,,,,,,,,,,,,rawParallax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,
Rah,Ram,Ras,DECf,DECd,DECm,DECs,Lithium,# stars,sepfrom,separation,position angle,date,period,separation ref,delta mag,filter,deltaMag ref,Name,TYCHO-2,GJ,HD,HR,CD,1RXS,UCAC4,PPMXL,2MASS ID,SDSS ID,WISE ID,YPC,HIP,Raraw,eRAraw,DECraw,eDECraw,EPOCH,position ref,RA,eRA,DEC,eDEC,pi,epi,pi ref,rv,erv,rv ref,radius-based dist.,radius-based dist. Ref,Cluster Parallax,Cluster Parallax ref.,dist,edist,dist method,distance ref,rv_pred,erv_pred,rv_pred method,rv_pred ref,pmRA,epmRA,pmDEC,epmDEC,pm ref,pm,epm,pa,epa,U,eU,V,eV,W,eW,X,eX,Y,eY,Z,eZ,kinematic ref,FUV,eFUV,NUV,eNUV,GALEX joint,u',eu',u' flag,u' ref,g',eg',g' flag,g' ref,r',er',r' flag,r' ref,i',ei',i' flag,i' ref,z',ez',z' flag,z' ref,SDSS joint,Bt,eBt,Vt,eVt,Uj,eUj,Uj flag,Uj ref,Bj,eBj,Bj flag,Bj ref,Vj,eVj,Vj flag,Vj ref,Rkc,eRkc,Rkc flag,Rkc ref,Ikc,eIkc,Ikc flag,Ikc ref,optical joint?,Zuk,eZuk,Zuk flag,Zuk ref,Yuk,eYuk,Yuk flag,Yuk ref,J,eJ,J flag,J ref,H,eH,H flag,H ref,K,eK,K flag,K ref,NIR joint?,W1,eW1,W1 flag,W1 ref,W2,eW2,W2 flag,W2 ref,W3,eW3,W3 flag,W3 ref,W4,eW4,W4 flag,W4 ref,WISE joint?,variability,variability filter,X-ray,X joint?,eX-ray,hr1,ehr1,hr2,ehr2,MV,B-V,V-K,V-I,J-K,EB-V,EB-V ref,Mbol,eMbol,Mbol ref,Lx,eLx,Lx/Lbol,Lx/Lbol flag,LUV/Lbol,SpType,SpType ref,SpType joint,Teff,eTeff,Teff ref,Teff 2,eTeff 2,Teff 2 Ref,Teff 3,eTeff 3,Teff 3 ref,Teff 4,eTeff 4,Teff 4 ref,vsini,evsini,vsini flag,vsini ref,vsini2,evsini2,vsini flag 2,vsini2 ref,vsini3,evsini3,vsini flag 3,vsini3 ref,CaH Index,eCaH Index,CaH ref,CaH-Narrow Index,eCaH-Narrow,CaH-Narrow ref,H-alpha EW,eH-alpha EW,H-alpha ref,H-alpha EW 2,eH-alpha EW2,H-alpha 2 ref,H-alpha EW 3,eH-alpha EW 3,H-alpha 3 ref,Li6708 EW,eLi6708 EW,Li6708 EW flag,Li6708 ref,Li6708 EW2,eLi6708 EW2,Li6708 EW flag2,Li6708 ref2,Li6708 EW3,eLi6708 EW 3,Li6708 flag3,Li6708 ref3,Li Abundance,Li Abundance REF,K7699 EW,eK7699 EW,K7699 ref,Na8200 EW,eNa8200 EW,Na8200 Index,eNa8200 Index,Na8200 ref,Fe/H,eFe/H,Fe/H ref,Ba/H,eBa/H,Ba/Fe ref,RHK,eRHK,RHK ref,log g,elog g,log g ref,log g 2,elog g 2,log g 2 ref,GROUP,GROUP quality,GROUP1,%Cert 1,GROUP1 ref,GROUP2,%Cert 2,GROUP2 ref,GROUP3,%Cert 3,GROUP3 ref,GROUP4,%Cert 4,GROUP4 ref,GROUP5,%Cert 5,GROUP5 ref,GROUP6,%Cert 6,GROUP6 ref,GROUP7,%Cert 7,GROUP7 ref,GROUP8,%Cert 8,GROUP8 ref,RV1,eRV1,RV1 ref,RV1 flag,RV2,eRV2,RV2 ref,RV2 flag,RV3,eRV3,RV3 ref,RV3 flag,RV4,eRV4,RV4 ref,RV4 flag,pi1,epi1,pi1ref,pi1flag,pi2,epi2,pi2ref,pi2flag,pi3,epi3,pi3ref,pi3flag,pi4,epi4,pi4ref,pi4flag,pi5,epi5,pi5ref,pi5flag,pi6,epi6,pi6ref,pi6flag,pi7,epi7,pi7ref,pi7flag,pi8,epi8,pi8ref,pi8flag,Notes,Notes2
hour,min,sec,,deg,min,sec,,,key,arcsec,deg,,days,,mag,,,,,,,,,,,,,,,,,deg,mas,deg,mas,jd,,,,,,mas,mas,,,,,pc,,,,pc,pc,,,,,,,mas/yr,mas/yr,mas/yr,mas/yr,,mas/yr,mas/yr,deg,,km/s,km/s,km/s,km/s,km/s,km/s,pc,pc,pc,pc,pc,pc,,mag,mag,mag,mag,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,,mag,mag,mag,mag,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,,mag,mag,,,mag,mag,,,mag,mag,,,mag,mag,,,,mag,,counts/sec,,counts/sec,,,,,mag,mag,mag,mag,mag,,,mag,,,ergs/s,ergs/s,,,,,,,K,K,,K,K,,K,K,,K,K,,km/s,km/s,,,km/s,km/s,,,km/s,km/s,,km/s,dex,dex,,dex,dex,,Angstroms,Angstroms,,,,,,,,milliangstroms,milliangstroms,,,milliangstroms,milliangstroms,,,,,,,,,Angstroms,Angstroms,,,,dex,dex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,km/s,km/s,,,km/s,km/s,,,km/s,km/s,,,km/s,km/s,,,mas,mas,,,mas,mas,,,mas,mas,,,mas,mas,,,mas,mas,,,mas,mas,,,mas,mas,,,mas,mas,,,,
00,01,12.170,+,15,35,35.50,,1,,,,,,,,,,00011217+1535355,,,,,,,,,00011217+1535355,J000112.17+153535.4,,,,0.3007460,60.00,15.5931990,100.00,2451811.7767,2MASS,000.3007165,60.27,+15.5932363,100.37,-----,-----,,-----,-----,,,,,,,,,,,,,,139.60,7.80,-183.50,11.80,Gagne2014d,230.57,14.14,142.74,0.47,,,,,,,,,,,,,,,,,,,23.9190006256,0.6600000262,3,SDSS9,24.628,0.509,3,SDSS9,23.003,0.229,3,SDSS9,20.284,0.038,3,SDSS9,18.5090007782,0.0320000015,3,SDSS9,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.522,0.062,A,2MASS,14.505,0.053,A,2MASS,13.710,0.044,A,2MASS,,12.970,,,Gagne2014d,12.540,,,Gagne2014d,,,,,,,,,,,,,,,,,,,-----,-----,-----,-----,1.812,,,,,,,,,,,L4:,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,79.1,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,01,30.440,+,10,10,14.60,,1,,,,,,,,,,J0001+1010 ,,,,,,,,,00013044+1010146,J000130.40+101013.9,J000130.40+101013.6,,,0.3768710,100.00,10.1707370,100.00,2451807.8991,2MASS,000.3768856,101.07,+10.1707558,101.13,-----,-----,,-----,-----,,,,,,125.1,,kinematic,Gagne2014a,-11,10.7,kinematic,Gagne2014a,-71.50,20.30,-93.90,20.90,Gagne2014a,118.02,29.14,217.29,27.47,,,,,,,,,,,,,,,,,,,22.7900009155,0.4970000088,3,SDSS9,23.298,0.239,3,SDSS9,21.579,0.092,3,SDSS9,19.088,0.017,3,SDSS9,17.6840000153,0.0199999996,3,SDSS9,,  ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,, ,,,, ,,,,,14.642,0.032,A,ALLWISE,14.403,0.052,A,ALLWISE,12.551,--,U,ALLWISE,8.294,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,-----,,,,,,,,,,,,Gagne2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yfield,0.5,Gagne2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,01,39.460,+,73,36,42.64,,1,,,,,,,,,,HD 224890,4306-00028-1,,224890,,,,819-000054,'443748778482268123,00013948+7336427, ,J000139.65+733642.5,,128,0.4137651,0.29,73.6118765,0.27,2448349.0625,vanLeeuwen2007,000.4144167,2.90,+73.6118448,2.38,14.13,0.34,v,-8.00,3.70,K,,,0.012,Eggen1991,,,,,,,,,75.65,0.33,-13.03,0.27,vanLeeuwen2007,76.76,0.43,99.77,0.31,22.800,,-17.600,,-9.300,,40.200,,71.200,,15.900,,Eggen1991,,,,,,  ,,,,9.415,0.010,q,UCAC4, ,,,,7.679,0.010,q,UCAC4,,,,,,6.728,0.014,6.517,0.010,,,,,8.585,0.010,-,UCAC4,8.500,0.040,-,UCAC4,,,,,,,,,,,,,,,,,,6.098,0.020,5,UCAC4,6.060,0.040,5,UCAC4,6.019,0.020,5,UCAC4,,6.022,0.054,,,5.976,0.023,,,6.065,0.014,,,6.017,0.037,,,,,,,,,,,,,4.251,0.085,2.481,-----,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC 2391 Supercluster,,IC 2391 Supercluster,,Eggen1991,,,,,,,,,,,,,,,,,,,,,,-8.00,3.70,Kharchenko2007,P,,,,,,,,,,,,,14.13,0.34,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,02,34.936,+,34,22,52.18,,1,,,,,,,,,,J00025+3422N,,,,,,,622-000157,'2171501872081027876,00023493+3422521,J000234.95+342251.8,J000234.99+342251.6,,,0.6455839,13.00,34.3811487,14.00,2451544.5000,UCAC4,000.6455839,13.00,+34.3811487,14.00,-----,-----,,-14.11,1.31,S,,,,,68.8,7.4,kinematic,Schlieder2012a,,,,,52.90,2.50,-41.60,3.00,UCAC4,67.30,3.91,128.18,1.39,,,,,,,,,,,,,,,,,,,16.8209991455,0.0080000004,3,SDSS9,15.338,0.006,3,SDSS9,12.877,0.002,3,SDSS9,12.131,0.002,3,SDSS9,12.529999733,0.0080000004,3,SDSS9,,  ,,,,,,,,14.652,0.030,-,UCAC4,13.245,0.040,-,UCAC4,,,,,,,,,,,,,,,,,,10.378,0.030,5,UCAC4,9.659,0.030,5,UCAC4,9.501,0.020,5,UCAC4,,9.428,0.023,A,ALLWISE,9.421,0.021,A,ALLWISE,9.252,0.032,A,ALLWISE,8.360,--,U,ALLWISE,,,,,,,,,,,-----,1.407,3.744,-----,0.877,,,,,,-3.8,,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,3,Schlieder2012a,,,,,,,,,,,,,,,,,,,,,,-14.11,1.31,Schlieder2012a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,03,42.280,-,28,22,41.00,,0,A-B,66,10,2010,,WDS,,,,2MASS J00034227-2822410B,,,,,,,,,00034227-2822410, ,J000342.53-282242.7,,,0.9261610,70.00,-28.3780560,70.00,2451124.5337,2MASS,000.9262576,70.94,-28.3780988,70.94,25.68,0.80,DSvv,11.60,1.10,S,,,,,31.0,3.0,photometric,Shkolnik2012,,,,,266.00,10.00,-134.00,10.00,Shkolnik2012,297.85,14.14,116.74,1.71,-27.200,4.800,-40.300,3.600,-19.200,1.400,,,,,,,Shkolnik2012,,,,,,  ,,,,  ,,,, ,,,, ,,,,,,,,J,  ,,,,,,,, ,,,, ,,,,,,,,15.700,,,Shkolnik2012,J,,,,,,,,,13.068,0.024,A,2MASS,12.376,0.028,A,2MASS,11.972,0.025,A,2MASS,J,11.705,0.024,A,ALLWISE,11.519,0.023,A,ALLWISE,11.007,0.122,B,ALLWISE,8.641,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,1.096,,,,,,,,,,,M8,WDS,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,Shkolnik2009,0.051,,Shkolnik2009,-2.19,0.45,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,2.35,0.24,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,,,100-300,,Shkolnik2009,Yfield,100,Gagne2014a,,,,,,,,,,,,,,,,,,,11.60,1.10,Shkolnik2012,P,,,,,,,,,,,,,25,1.9,Dupuy2012,P,27.7,3,Shkolnik2012,P,,,,,25.70,0.93,vanLeeuwen2007,P,11.8,15,vanAltena1995,P,,,,,,,,,,,,,,.
00,03,42.280,-,28,22,41.00,,2,A-B,66,10,2010,,WDS,,,,2MASS J00034227-2822410A,,,,,,,,,00034227-2822410, ,J000342.53-282242.7,,,0.9261610,70.00,-28.3780560,70.00,2451124.5337,2MASS,000.9262628,70.02,-28.3780954,70.03,25.68,0.80,DSvv,11.60,1.10,S,,,,,34.2,,kinematic,Gagne2014a,-0.2,7.4,kinematic,Gagne2014a,280.30,1.50,-123.30,1.70,Gagne2014a,306.22,2.27,113.74,0.36,-27.200,4.800,-40.300,3.600,-19.200,1.400,,,,,,,Shkolnik2012,,,,,,  ,,,,  ,,,, ,,,, ,,,,,,,,J,  ,,,,,,,, ,,,, ,,,,,,,,15.700,,,Shkolnik2012,J,,,,,,,,,13.068,0.024,A,2MASS,12.376,0.028,A,2MASS,11.972,0.025,A,2MASS,J,11.705,0.024,A,ALLWISE,11.519,0.023,A,ALLWISE,11.007,0.122,B,ALLWISE,8.641,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,1.096,,,,,,,,,,,M7,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,Shkolnik2009,0.051,,Shkolnik2009,-2.19,0.45,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,2.35,0.24,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,,,100-300,,Shkolnik2009,Yfield,100,Gagne2014a,,,,,,,,,,,,,,,,,,,11.60,1.10,Shkolnik2012,P,,,,,,,,,,,,,25,1.9,Dupuy2012,P,27.7,3,Shkolnik2012,P,,,,,25.70,0.93,vanLeeuwen2007,P,11.8,15,vanAltena1995,P,,,,,,,,,,,,,,.
00,04,02.840,-,64,10,35.60,,*,,,,,,,,,,2MUCD 40109,,,,,,,,,00040288-6410358, ,J000403.00-641036.3,,,1.0120060,68.08,-64.1766130,62.17,2451754.8978,2MASS,001.0119775,68.10,-64.1766040,62.36,-----,-----,,-----,-----,,,,,,47.4,3.2,kinematic,Gagne2014a,6.8,2.9,kinematic,Gagne2014a,77.70,3.00,-56.10,8.40,Gagne2014d,95.84,8.92,125.83,6.07,,,,,,,,,,,,,,,,,,,  ,,,,  ,,,, ,,,, ,,,,,,,,,  ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,15.786,0.072,A,2MASS,14.831,0.073,A,2MASS,14.009,0.046,A,2MASS,,13.409,0.024,A,ALLWISE,12.959,0.026,A,ALLWISE,12.086,0.301,B,ALLWISE,9.055,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,1.777,,,,,,,,,,,L1γ,Faherty2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,Tuc-Hor,,Faherty2013,Tuc-Hor,99.6,Gagne2014a,Tuc-Hor,99.9,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,04,15.890,-,87,47,25.40,,1,,,,,,,,,,00041589-8747254,,,,,,,,'6629873358137476022,00041589-8747254, ,,,,1.0655030,69.00,-87.7903800,66.00,2451544.5000,PPMXL,001.0655030,69.00,-87.7903800,66.00,-----,-----,,-----,-----,,,,,,,,,,,,,,76.40,8.90,-36.80,8.70,PPMXL,84.80,12.45,115.72,5.47,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.900,0.023,A,2MASS,12.205,0.025,A,2MASS,11.865,0.026,A,2MASS,,11.650,,,Gagne2014d,11.410,,,Gagne2014d,,,,,,,,,,,,,,,,,,,-----,-----,-----,-----,1.035,,,,,,,,,,,M5.7,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,55.4,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
00,05,52.550,-,41,45,10.90,X,1,,,,,,,,,,HIP 490,7526-01226-1,,000105,,-42-16587,J000552.5-414521,242-000106,'1444100384557501225,00055255-4145109, ,J000552.64-414511.7,,490,1.4686171,0.36,-41.7528821,0.32,2448349.0625,vanLeeuwen2007,001.4689348,3.34,-41.7530674,3.86,25.39,0.59,v,2.20,0.09,MTKM,,,,,,,,,,,,,97.53,0.38,-76.27,0.44,vanLeeuwen2007,123.81,0.58,128.03,0.10,-9.400,0.500,-21.200,0.500,-2.000,1.400,10.400,,-5.400,,-37.600,,Malo2013,,,,,,  ,,,,9.772,0.010,q,UCAC4,8.720,0.010,q,UCAC4,7.629,0.000,-,UCAC4,,,,,,8.226,0.015,7.577,0.010,,,,,8.930,0.310,-,UCAC4,8.826,0.110,-,UCAC4,,,,,6.890,,,Torres2006,,,,,,,,,,6.464,0.020,5,UCAC4,6.189,0.020,5,UCAC4,6.117,0.020,5,UCAC4,,6.073,0.109,A,ALLWISE,5.977,0.037,A,ALLWISE,6.106,0.015,A,ALLWISE,5.953,0.041,A,ALLWISE,,0.012,,1.48E-01,,3.16E-02,-0.08,0.19,-0.13,0.27,5.849,0.104,2.709,1.936,0.347,,,,,,,,,,,G0V,Malo2013,,6173,17,Mentuch2008,6178,,Da-Silva2009,,,,,,,14.0,1.0,e,Da-Silva2009,14.5,-----,,Valenti2005,15.0,1.0,e,Torres2006,,,,,,,,,,,,,,,,153.00,20,,Mentuch2008,,,,,,,,,3.2,Da-Silva2009,,,,,,,,,,,,,,,,,,4.28,0.05,Mentuch2008,,,,Tuc-Hor,Good,Tuc-Hor,,Zuckerman2004,Tuc-Hor,BF,Malo2013,Tuc-Hor,BF,Gagne2014a,Tuc-Hor,BF,Riedel2015,,,,,,,,,,,,,2.30,1.50,Malo2013,P,2.30,1.50,Torres2006,P,1.64,1.27,Kharchenko2007,P,3.20,2.00,Montes2001,P,25.39,0.59,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
